Row_No,Name,Change,Change (%),Price (Intraday),YTD Return (%),3-Mo Return (%),1-Year Return (%),3-Year Return (%),5-Year Return (%),Net Expense Ratio (%),Gross Expense Ratio (%),Net Assets,50 Day Avg,200 Day Avg,52 Week Range,Exchange,Funds by Category,Funds by Company,52 Week Low,52 Week High
9769,Nuveen Lifecycle 2015 Retirement,0.1,0.73,13.84,3.95,1.26,11.49,10.9,7.43,0.57,0.57,904672000.0,13.67,13.47,12.86 13.77,Nasdaq,Target-Date 2015,Nuveen,12.86,13.77
9770,Nuveen Lifecycle 2015 I,0.07,0.7,10.02,3.99,1.23,11.87,11.13,7.54,0.57,0.57,904672000.0,9.9,9.79,9.31 10.11,Nasdaq,Target-Date 2015,Nuveen,9.31,10.11
9771,Nuveen Lifecycle 2015 R6,0.07,0.7,10.03,4.1,1.23,11.68,11.08,7.74,0.57,0.57,904672000.0,9.91,9.8,9.31 10.11,Nasdaq,Target-Date 2015,Nuveen,9.31,10.11
9772,SEI Exchange Traded Funds - SEI High Yield Bond & Alternative Credit ETF,-0.02,-0.31,5.18,0.82,-0.09,7.52,12.56,9.88,1.3,1.3,902542000.0,5.2,5.31,5.13 5.42,Nasdaq,High Yield Bond,Sei,5.13,5.42
9773,1919 Socially Responsive Balanced I,0.35,0.98,36.01,3.69,2.23,10.08,19.95,17.61,0.69,0.69,901517000.0,35.0,34.27,31.86 35.66,Nasdaq,Moderate Allocation,1919 Funds,31.86,35.66
9774,1919 Socially Responsive Balanced Fund,0.34,0.97,35.43,3.13,1.99,8.98,18.8,16.46,0.69,0.69,901517000.0,34.43,33.72,31.30 35.09,Nasdaq,Moderate Allocation,1919 Funds,31.3,35.09
9775,Franklin OH Tax-Free Inc R6,0.02,0.18,11.32,0.85,-0.48,3.59,5.83,1.02,0.57,0.57,900102000.0,11.45,11.46,10.99 11.61,Nasdaq,Muni Ohio,Franklin Templeton Investments,10.99,11.61
9776,Franklin OH Tax-Free Inc A,0.03,0.27,11.32,0.59,-0.55,3.39,5.54,0.73,0.57,0.57,900102000.0,11.45,11.45,10.99 11.61,Nasdaq,Muni Ohio,Franklin Templeton Investments,10.99,11.61
9777,Franklin OH Tax-Free Inc C,0.03,0.26,11.47,0.35,-0.73,2.92,5.13,0.31,0.57,0.57,900102000.0,11.6,11.6,11.13 11.76,Nasdaq,Muni Ohio,Franklin Templeton Investments,11.13,11.76
9778,Franklin OH Tax-Free Inc Adv,0.03,0.27,11.32,0.74,-0.58,3.64,5.8,0.98,0.57,0.57,900102000.0,11.45,11.46,10.99 11.61,Nasdaq,Muni Ohio,Franklin Templeton Investments,10.99,11.61
9779,Franklin OH Tax-Free Inc A1,0.03,0.27,11.31,0.68,-0.6,3.54,5.7,0.96,0.57,0.57,900102000.0,11.44,11.44,10.98 11.60,Nasdaq,Muni Ohio,Franklin Templeton Investments,10.98,11.6
9780,Hotchkis & Wiley Opps A,0.71,1.55,46.59,12.35,7.6,14.28,26.36,34.09,1.93,1.93,898369000.0,44.04,42.36,39.81 46.17,Nasdaq,Mid-Cap Value,Hotchkis & Wiley,39.81,46.17
9781,Hotchkis & Wiley Opps C,0.62,1.55,40.69,11.88,7.42,13.45,25.49,33.14,1.93,1.93,898369000.0,38.57,37.21,34.94 40.54,Nasdaq,Mid-Cap Value,Hotchkis & Wiley,34.94,40.54
9782,Hotchkis & Wiley Opps Instl,0.71,1.55,46.63,12.51,7.69,14.55,26.66,34.45,1.93,1.93,898369000.0,44.06,42.38,39.91 46.19,Nasdaq,Mid-Cap Value,Hotchkis & Wiley,39.91,46.19
9783,Hotchkis & Wiley Opps Z,0.71,1.55,46.66,14.63,9.68,-7.88,5.35,-10.97,1.93,1.93,898369000.0,44.09,42.4,39.96 46.21,Nasdaq,Mid-Cap Value,Hotchkis & Wiley,39.96,46.21
9784,CIBC Atlas International Growth Instl,0.21,1.23,17.23,11.33,2.89,13.15,13.47,12.34,0.92,0.92,897686000.0,16.76,16.42,15.06 17.23,Nasdaq,Foreign Large Growth,Cibc Private Wealth Management,15.06,17.23
9785,BNY Mellon Worldwide Growth Fund,0.67,0.98,68.83,4.92,2.9,13.82,22.74,24.11,0.91,0.91,896365000.0,65.7,66.51,58.02 76.66,Nasdaq,Global Large-Stock Growth,Bny Mellon,58.02,76.66
9786,BNY Mellon Worldwide Growth Fund,0.69,1.01,68.92,4.85,2.86,13.69,22.62,24.02,0.91,0.91,896365000.0,65.77,66.59,58.08 76.75,Nasdaq,Global Large-Stock Growth,Bny Mellon,58.08,76.75
